starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 03 16:31:46 2023	1677857506	0	15	15	15
Fri Mar 03 16:31:47 2023	1677857507	0	18	18	18
Fri Mar 03 16:31:44 2023	1677857504	0	18	18	18
Fri Mar 03 16:31:47 2023	1677857507	0	19	19	19
Fri Mar 03 16:31:47 2023	1677857507	0	20	20	19
Fri Mar 03 16:31:47 2023	1677857507	0	20	20	20
Fri Mar 03 16:31:42 2023	1677857502	0	21	21	20
Fri Mar 03 16:31:41 2023	1677857501	0	21	21	21
Fri Mar 03 16:31:41 2023	1677857501	0	21	21	21
Fri Mar 03 16:31:45 2023	1677857505	0	21	21	21
Fri Mar 03 16:31:44 2023	1677857504	0	21	21	21
Fri Mar 03 16:31:46 2023	1677857506	0	21	22	21
Fri Mar 03 16:31:42 2023	1677857502	0	22	22	21
Fri Mar 03 16:31:49 2023	1677857509	0	22	22	21
Fri Mar 03 16:31:44 2023	1677857504	0	22	22	21
Fri Mar 03 16:31:47 2023	1677857507	0	22	22	21
Fri Mar 03 16:31:46 2023	1677857506	0	22	22	21
Fri Mar 03 16:31:46 2023	1677857506	0	22	22	22
Fri Mar 03 16:31:47 2023	1677857507	0	22	22	22
Fri Mar 03 16:31:47 2023	1677857507	0	22	23	22
Fri Mar 03 16:31:47 2023	1677857507	0	22	23	22
Fri Mar 03 16:31:44 2023	1677857504	0	23	23	22
Fri Mar 03 16:31:49 2023	1677857509	0	23	23	22
Fri Mar 03 16:31:47 2023	1677857507	0	23	23	22
Fri Mar 03 16:31:46 2023	1677857506	0	23	23	22
Fri Mar 03 16:31:46 2023	1677857506	0	23	23	23
Fri Mar 03 16:31:44 2023	1677857504	0	23	23	23
Fri Mar 03 16:31:44 2023	1677857504	0	23	23	22
Fri Mar 03 16:31:49 2023	1677857509	0	23	23	23
Fri Mar 03 16:31:47 2023	1677857507	0	23	23	23
Fri Mar 03 16:31:44 2023	1677857504	0	23	23	23
Fri Mar 03 16:31:45 2023	1677857505	0	24	24	23
Fri Mar 03 16:31:45 2023	1677857505	0	24	24	22
Fri Mar 03 16:31:48 2023	1677857508	0	24	24	23
Fri Mar 03 16:31:41 2023	1677857501	0	24	24	23
Fri Mar 03 16:31:47 2023	1677857507	0	24	24	23
Fri Mar 03 16:31:47 2023	1677857507	0	24	24	19
Fri Mar 03 16:31:44 2023	1677857504	0	24	24	24
Fri Mar 03 16:31:41 2023	1677857501	0	24	24	24
Fri Mar 03 16:31:46 2023	1677857506	0	24	24	24
Fri Mar 03 16:31:41 2023	1677857501	0	24	24	24
Fri Mar 03 16:31:48 2023	1677857508	0	24	24	24
Fri Mar 03 16:31:47 2023	1677857507	0	25	25	24
Fri Mar 03 16:31:47 2023	1677857507	0	25	25	24
Fri Mar 03 16:31:47 2023	1677857507	0	25	25	24
Fri Mar 03 16:31:44 2023	1677857504	0	25	25	25
Fri Mar 03 16:31:47 2023	1677857507	0	25	25	25
Fri Mar 03 16:31:47 2023	1677857507	0	25	25	25
Fri Mar 03 16:31:46 2023	1677857506	0	25	25	24
Fri Mar 03 16:31:47 2023	1677857507	0	25	25	25
Fri Mar 03 16:31:47 2023	1677857507	0	26	26	25
Fri Mar 03 16:31:47 2023	1677857507	0	26	26	25
Fri Mar 03 16:31:47 2023	1677857507	0	26	26	25
Fri Mar 03 16:31:48 2023	1677857508	0	26	26	25
Fri Mar 03 16:31:47 2023	1677857507	0	26	26	26
Fri Mar 03 16:31:41 2023	1677857501	0	26	26	26
Fri Mar 03 16:31:41 2023	1677857501	0	26	26	25
Fri Mar 03 16:31:41 2023	1677857501	0	26	26	26
Fri Mar 03 16:31:47 2023	1677857507	0	26	26	26
Fri Mar 03 16:31:47 2023	1677857507	0	26	26	26
Fri Mar 03 16:31:41 2023	1677857501	0	26	26	26
Fri Mar 03 16:31:47 2023	1677857507	0	26	27	26
Fri Mar 03 16:31:47 2023	1677857507	0	27	27	26
Fri Mar 03 16:31:44 2023	1677857504	0	27	27	26
Fri Mar 03 16:31:46 2023	1677857506	0	27	27	27
Fri Mar 03 16:31:45 2023	1677857505	0	27	27	27
Fri Mar 03 16:31:47 2023	1677857507	0	27	27	27
Fri Mar 03 16:31:45 2023	1677857505	0	27	27	27
Fri Mar 03 16:31:47 2023	1677857507	0	28	28	28
Fri Mar 03 16:31:46 2023	1677857506	0	29	29	28
Fri Mar 03 16:31:41 2023	1677857501	0	29	29	28
