starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 03 16:29:51 2023	1677857391	0	18	18	17
Fri Mar 03 16:29:55 2023	1677857395	0	18	18	17
Fri Mar 03 16:29:55 2023	1677857395	0	19	20	18
Fri Mar 03 16:29:50 2023	1677857390	0	20	20	19
Fri Mar 03 16:29:52 2023	1677857392	0	20	20	19
Fri Mar 03 16:29:52 2023	1677857392	0	21	21	20
Fri Mar 03 16:29:50 2023	1677857390	0	21	21	20
Fri Mar 03 16:29:53 2023	1677857393	0	21	21	20
Fri Mar 03 16:29:55 2023	1677857395	0	21	21	20
Fri Mar 03 16:29:51 2023	1677857391	0	21	21	21
Fri Mar 03 16:29:54 2023	1677857394	0	21	21	21
Fri Mar 03 16:29:51 2023	1677857391	0	21	21	21
Fri Mar 03 16:29:55 2023	1677857395	0	21	21	21
Fri Mar 03 16:29:51 2023	1677857391	0	22	22	21
Fri Mar 03 16:29:54 2023	1677857394	0	22	22	21
Fri Mar 03 16:29:52 2023	1677857392	0	22	22	21
Fri Mar 03 16:29:55 2023	1677857395	0	22	22	22
Fri Mar 03 16:29:55 2023	1677857395	0	22	22	22
Fri Mar 03 16:29:55 2023	1677857395	0	22	23	22
Fri Mar 03 16:29:54 2023	1677857394	0	23	23	22
Fri Mar 03 16:29:48 2023	1677857388	0	23	23	22
Fri Mar 03 16:29:53 2023	1677857393	0	23	23	22
Fri Mar 03 16:29:50 2023	1677857390	0	23	23	20
Fri Mar 03 16:29:55 2023	1677857395	0	23	23	23
Fri Mar 03 16:29:51 2023	1677857391	0	23	23	23
Fri Mar 03 16:29:55 2023	1677857395	0	23	24	23
Fri Mar 03 16:29:55 2023	1677857395	0	24	24	23
Fri Mar 03 16:29:54 2023	1677857394	0	24	24	23
Fri Mar 03 16:29:50 2023	1677857390	0	24	24	23
Fri Mar 03 16:29:55 2023	1677857395	0	24	24	23
Fri Mar 03 16:29:51 2023	1677857391	0	24	24	24
Fri Mar 03 16:29:52 2023	1677857392	0	24	24	24
Fri Mar 03 16:29:53 2023	1677857393	0	24	24	18
Fri Mar 03 16:29:49 2023	1677857389	0	24	24	24
Fri Mar 03 16:29:55 2023	1677857395	0	25	25	24
Fri Mar 03 16:29:54 2023	1677857394	0	25	25	24
Fri Mar 03 16:29:54 2023	1677857394	0	25	25	25
Fri Mar 03 16:29:54 2023	1677857394	0	25	25	23
Fri Mar 03 16:29:50 2023	1677857390	0	25	25	25
Fri Mar 03 16:29:52 2023	1677857392	0	25	25	25
Fri Mar 03 16:29:48 2023	1677857388	0	25	25	25
Fri Mar 03 16:29:53 2023	1677857393	0	26	26	23
Fri Mar 03 16:29:54 2023	1677857394	0	26	26	16
Fri Mar 03 16:29:52 2023	1677857392	0	26	26	25
Fri Mar 03 16:29:52 2023	1677857392	0	26	26	25
Fri Mar 03 16:29:51 2023	1677857391	0	26	26	25
Fri Mar 03 16:29:51 2023	1677857391	0	26	26	26
Fri Mar 03 16:29:55 2023	1677857395	0	26	26	26
Fri Mar 03 16:29:49 2023	1677857389	0	26	26	25
Fri Mar 03 16:29:49 2023	1677857389	0	26	27	24
Fri Mar 03 16:29:53 2023	1677857393	0	26	27	26
Fri Mar 03 16:29:48 2023	1677857388	0	26	27	26
Fri Mar 03 16:29:48 2023	1677857388	0	27	27	26
Fri Mar 03 16:29:48 2023	1677857388	0	27	27	26
Fri Mar 03 16:29:55 2023	1677857395	0	27	27	25
Fri Mar 03 16:29:55 2023	1677857395	0	27	27	26
Fri Mar 03 16:29:54 2023	1677857394	0	27	27	26
Fri Mar 03 16:29:53 2023	1677857393	0	27	27	27
Fri Mar 03 16:29:54 2023	1677857394	0	27	27	27
Fri Mar 03 16:29:54 2023	1677857394	0	28	28	27
Fri Mar 03 16:29:54 2023	1677857394	0	28	28	27
Fri Mar 03 16:29:50 2023	1677857390	0	28	28	27
Fri Mar 03 16:29:53 2023	1677857393	0	28	28	27
Fri Mar 03 16:29:54 2023	1677857394	0	28	28	28
Fri Mar 03 16:29:50 2023	1677857390	0	29	29	28
Fri Mar 03 16:29:55 2023	1677857395	0	29	29	28
Fri Mar 03 16:29:50 2023	1677857390	0	29	29	28
Fri Mar 03 16:29:54 2023	1677857394	0	29	29	28
Fri Mar 03 16:29:48 2023	1677857388	0	29	29	29
Fri Mar 03 16:29:55 2023	1677857395	0	30	30	29
Fri Mar 03 16:29:52 2023	1677857392	0	30	30	28
Fri Mar 03 16:29:52 2023	1677857392	0	30	30	29
Fri Mar 03 16:29:54 2023	1677857394	0	30	30	27
Fri Mar 03 16:29:52 2023	1677857392	0	30	30	29
Fri Mar 03 16:29:53 2023	1677857393	0	30	30	30
Fri Mar 03 16:29:48 2023	1677857388	0	30	30	29
Fri Mar 03 16:29:55 2023	1677857395	0	30	30	26
Fri Mar 03 16:29:55 2023	1677857395	0	31	31	30
Fri Mar 03 16:29:53 2023	1677857393	0	31	31	30
Fri Mar 03 16:29:54 2023	1677857394	0	31	31	31
Fri Mar 03 16:29:54 2023	1677857394	0	31	31	31
Fri Mar 03 16:29:52 2023	1677857392	0	32	32	31
Fri Mar 03 16:29:55 2023	1677857395	0	32	32	31
Fri Mar 03 16:29:50 2023	1677857390	0	32	32	31
Fri Mar 03 16:29:53 2023	1677857393	0	32	32	32
Fri Mar 03 16:29:55 2023	1677857395	0	32	32	31
Fri Mar 03 16:29:55 2023	1677857395	0	32	32	32
Fri Mar 03 16:29:51 2023	1677857391	0	32	32	32
Fri Mar 03 16:29:55 2023	1677857395	0	32	33	32
Fri Mar 03 16:29:48 2023	1677857388	0	33	33	32
Fri Mar 03 16:29:48 2023	1677857388	0	33	33	22
Fri Mar 03 16:29:48 2023	1677857388	0	33	33	33
Fri Mar 03 16:29:55 2023	1677857395	0	33	33	33
Fri Mar 03 16:29:48 2023	1677857388	0	34	34	33
Fri Mar 03 16:29:51 2023	1677857391	0	34	34	33
Fri Mar 03 16:29:53 2023	1677857393	0	34	34	33
Fri Mar 03 16:29:52 2023	1677857392	0	34	34	33
Fri Mar 03 16:29:54 2023	1677857394	0	34	34	30
